country,shop_id,item_id
sg,162285147,5853537287
sg,162285147,21976964753
sg,162285147,22781353601
sg,162285147,6017838561
sg,162285147,43571647829
sg,162285147,26082412148
sg,162285147,2455968139
sg,162285147,6256311976
sg,162285147,7795661389
sg,162285147,55700335483
sg,162285147,19783376690
sg,162285147,42923323639
sg,162285147,29818002371
sg,162285147,9031127428
sg,162285147,6153147533
sg,162285147,26902856576
sg,162285147,44029660109
sg,162285147,10923891934
sg,162285147,49406249729
sg,162285147,2456672454
sg,162285147,53606232169
sg,162285147,27322932058
sg,162285147,26655718483
sg,162285147,24432448407
sg,162285147,24583699022
sg,162285147,4734606890
sg,162285147,24785175507
sg,162285147,8345681134
sg,162285147,29872927011
sg,162285147,29789129834
sg,162285147,29608857486
sg,162285147,49556256208
sg,162285147,28008853253
sg,162285147,56406240801
sg,162285147,41810225661
sg,162285147,22630937527
sg,162285147,19691004674
sg,162285147,40910217381
sg,162285147,28221899901
sg,162285147,5031393811
sg,162285147,53200340428
sg,162285147,6053003103
sg,162285147,27621908646
sg,162285147,5600870081
sg,162285147,18836550644
sg,162285147,7034585264
sg,162285147,50958002755
sg,162285147,16534402773
sg,162285147,5629533544
sg,162285147,6961223918
sg,162285147,13484452740
sg,162285147,5556313603
sg,162285147,3817937748
sg,162285147,24432448423
sg,162285147,6807366371
sg,162285147,54252908507
sg,162285147,6653151052
sg,162285147,47052132615
sg,162285147,49102948042
sg,162285147,2463713343
sg,162285147,45702977171
sg,162285147,5634579981
sg,162285147,2456778302
sg,162285147,25582465170
sg,162285147,9128109072
sg,162285147,26264722473
sg,162285147,29430372028
sg,162285147,5634586008
sg,162285147,51859540525
sg,162285147,28872941215
sg,162285147,25782461795
sg,162285147,29162344168
sg,162285147,25782448574
sg,162285147,22918847599
sg,162285147,23547378270
sg,162285147,4107350480
sg,162285147,54509591606
sg,162285147,26053451311
sg,162285147,50959595421
sg,162285147,3634972422
sg,162285147,29508861634
sg,162285147,7629258380
sg,162285147,47656138475
sg,162285147,19851605200
sg,162285147,9927966152
sg,162285147,57009541328
sg,162285147,47556138545
sg,162285147,6994342908
sg,162285147,49662308468
sg,162285147,28412993682
sg,162285147,27205720120
sg,162285147,57707998400
sg,162285147,51659535610
sg,162285147,4800872146
sg,162285147,26713003769
sg,162285147,45502977243
sg,162285147,55952196486
sg,162285147,29171931729
sg,162285147,25332461291
sg,162285147,5834741499
sg,162285147,25482448522
sg,162285147,2981824666
sg,162285147,16095270230
sg,162285147,49458355854
sg,162285147,45706256316
sg,162285147,24063663291
sg,162285147,42421638849
sg,162285147,56507998016
sg,162285147,25182448564
sg,162285147,25839882954
sg,162285147,2456596480
sg,162285147,56358007509
sg,162285147,29012999249
sg,162285147,10233084154
sg,162285147,44750365511
